Unit,ID,Entry,Row,Range,Replicates,TRT,RepRow,Variety,Type,TOS,Plotname,Block,subset
1,V73,73,1,1,1,73,1,Oxford,TL,2,V73 (Oxford),1,
2,V81,81,2,1,1,81,1,Shepherd,TL,2,V81 (Shepherd),1,
3,V18,18,3,1,1,18,1,Cassiopee,TL,2,V18 (Cassiopee),1,
4,V29,29,4,1,2,29,1,CSIROW011,TL,2,V29 (CSIROW011),1,
5,V5,5,5,1,1,5,2,Manning,Control,2,V5 (Manning),1,subset\u0007
6,V44,44,6,1,2,44,2,EGA_Gregory,TL,2,V44 (EGA_Gregory),1,subset\u0007
7,V79,79,7,1,1,79,2,Scope,TL,2,V79 (Scope),1,
8,V3,3,8,1,1,3,2,Lancer,Control,2,V3 (Lancer),1,subset\u0007
9,V7,7,1,2,1,7,1,AGT_Scythe,TL,2,V7 (AGT_Scythe),1,
10,V6,6,2,2,1,6,1,Scepter,Control,2,V6 (Scepter),1,subset\u0007
11,V30,30,3,2,2,30,1,CSIROW018,TL,2,V30 (CSIROW018),1,
12,V13,13,4,2,1,13,1,Biere,TL,2,V13 (Biere),1,
13,V28,28,5,2,2,28,2,CSIROW007,TL,2,V28 (CSIROW007),1,
14,V78,78,6,2,1,78,2,Schooner,TL,2,V78 (Schooner),1,
15,V23,23,7,2,1,23,2,CSIROB1,TL,2,V23 (CSIROB1),1,
16,V62,62,8,2,1,62,2,Keel,TL,2,V62 (Keel),1,
17,V61,61,1,3,1,61,1,Janz,TL,2,V61 (Janz),1,
18,V42,42,2,3,2,42,1,Derrimut,TL,2,V42 (Derrimut),1,
19,V16,16,3,3,1,16,1,Calingiri,TL,2,V16 (Calingiri),1,
20,V19,19,4,3,1,19,1,Catalina,TL,2,V19 (Catalina),1,
21,V14,14,5,3,1,14,2,Bolac,TL,2,V14 (Bolac),1,
22,V48,48,6,3,2,48,2,Ellison,TL,2,V48 (Ellison),1,
23,V20,20,7,3,1,20,2,Commander,TL,2,V20 (Commander),1,subset\u0007
24,V45,45,8,3,2,45,2,EGA_Hume,TL,2,V45 (EGA_Hume),1,
25,V36,36,1,4,2,36,1,CSIROW077,TL,2,V36 (CSIROW077),1,
26,V63,63,2,4,1,63,1,Kellalac,TL,2,V63 (Kellalac),1,
27,V85,85,3,4,1,85,1,Sunbee,TL,2,V85 (Sunbee),1,
28,V91,91,4,4,1,91,1,Urambie,TL,2,V91 (Urambie),1,subset\u0007
29,V34,34,5,4,2,34,2,CSIROW029,TL,2,V34 (CSIROW029),1,
30,V31,31,6,4,2,31,2,CSIROW021,TL,2,V31 (CSIROW021),1,
31,V49,49,7,4,1,49,2,Emu_Rock,TL,2,V49 (Emu_Rock),1,
32,V72,72,8,4,1,72,2,Ouyen,TL,2,V72 (Ouyen),1,
33,V87,87,1,5,1,87,1,Sunlamb,TL,2,V87 (Sunlamb),1,
34,V84,84,2,5,1,84,1,Strzelecki,TL,2,V84 (Strzelecki),1,
