Unit,ID,Entry,Row,Range,ReplicationTOS,TRT,RepRow,Variety,Type,TOS,Plotname,subset
1,V49,49,1,1,1,49,1,Emu_Rock,TL,2,V49 (Emu_Rock),
2,V40,40,2,1,2,40,1,Cutlass,TL,2,V40 (Cutlass),
3,V11,11,3,1,1,11,1,Bass,TL,2,V11 (Bass),
4,V66,66,4,1,1,66,1,Longsword,TL,2,V66 (Longsword),
5,V48,48,5,1,2,48,1,Ellison,TL,2,V48 (Ellison),
6,V28,28,6,1,2,28,2,CSIROW007,TL,2,V28 (CSIROW007),
7,V51,51,7,1,1,51,2,Fleet,TL,2,V51 (Fleet),
8,V20,20,8,1,1,20,2,Commander,TL,2,V20 (Commander),
9,V77,77,9,1,1,77,2,Rosella,TL,2,V77 (Rosella),
10,V34,34,10,1,2,34,2,CSIROW029,TL,2,V34 (CSIROW029),
11,V4,4,1,2,1,4,1,Spartacus CL,Control,2,V4 (Spartacus CL),
12,V72,72,2,2,1,72,1,Ouyen,TL,2,V72 (Ouyen),
13,V47,47,3,2,2,47,1,EGA_Wills,TL,2,V47 (EGA_Wills),
14,V85,85,4,2,1,85,1,Sunbee,TL,2,V85 (Sunbee),
15,V70,70,5,2,1,70,1,Mitch,TL,2,V70 (Mitch),
16,V41,41,6,2,2,41,2,Dash,TL,2,V41 (Dash),
17,V12,12,7,2,1,12,2,Baudin,TL,2,V12 (Baudin),
18,V38,38,8,2,2,38,2,CSIROW102,TL,2,V38 (CSIROW102),
19,V61,61,9,2,1,61,2,Janz,TL,2,V61 (Janz),
20,V88,88,10,2,1,88,2,Sunstate,TL,2,V88 (Sunstate),
21,V57,57,1,3,1,57,1,Granger,TL,2,V57 (Granger),
22,V27,27,2,3,1,27,1,CSIROW005,TL,2,V27 (CSIROW005),
23,V32,32,3,3,2,32,1,CSIROW023,TL,2,V32 (CSIROW023),
24,V42,42,4,3,2,42,1,Derrimut,TL,2,V42 (Derrimut),
25,V82,82,5,3,1,82,1,Spitfire,TL,2,V82 (Spitfire),
26,V9,9,6,3,1,9,2,Axe,TL,2,V9 (Axe),
27,V36,36,7,3,2,36,2,CSIROW077,TL,2,V36 (CSIROW077),
28,V76,76,8,3,1,76,2,Rosalind,TL,2,V76 (Rosalind),
29,V63,63,9,3,1,63,2,Kellalac,TL,2,V63 (Kellalac),
30,V44,44,10,3,2,44,2,EGA_Gregory,TL,2,V44 (EGA_Gregory),
31,V35,35,1,4,2,35,1,CSIROW073,TL,2,V35 (CSIROW073),
32,V53,53,2,4,1,53,1,Forrest,TL,2,V53 (Forrest),
33,V80,80,3,4,1,80,1,Scout,TL,2,V80 (Scout),
34,V43,43,4,4,2,43,1,EGA_Eaglehawk,TL,2,V43 (EGA_Eaglehawk),
35,V18,18,5,4,1,18,1,Cassiopee,TL,2,V18 (Cassiopee),
