Unit,ID,Entry,Range,Row,Replicates,TRT,RepRow,Variety,Type,TOS,Plotname,subset
11,V57,57,1,1,1,57,1,Granger,TL,1,V57 (Granger),
1,V44,44,1,2,1,44,1,EGA_Gregory,TL,1,V44 (EGA_Gregory),subset\u0007
31,V10,10,1,3,2,10,1,Banks,TL,1,V10 (Banks),
21,V92,92,1,4,1,92,1,Westminster,TL,1,V92 (Westminster),
51,V55,55,1,5,1,55,1,Gairdner,TL,1,V55 (Gairdner),
41,V62,62,1,6,1,62,1,Keel,TL,1,V62 (Keel),
71,V43,43,1,7,1,43,1,EGA_Eaglehawk,TL,1,V43 (EGA_Eaglehawk),
61,V16,16,1,8,2,16,1,Calingiri,TL,1,V16 (Calingiri),
91,V9,9,1,9,2,9,1,Axe,TL,1,V9 (Axe),subset\u0007
81,V51,51,1,10,1,51,1,Fleet,TL,1,V51 (Fleet),
111,V82,82,1,11,1,82,1,Spitfire,TL,1,V82 (Spitfire),
101,V11,11,1,12,2,11,1,Bass,TL,1,V11 (Bass),
1,V62,62,1,13,2,62,1,Keel,TL,7,V62 (Keel),
11,V88,88,1,14,1,88,1,Sunstate,TL,7,V88 (Sunstate),
21,V21,21,1,15,1,21,1,Compass,TL,7,V21 (Compass),
31,V32,32,1,16,1,32,1,CSIROW023,TL,7,V32 (CSIROW023),
41,V47,47,1,17,2,47,1,EGA_Wills,TL,7,V47 (EGA_Wills),
51,V66,66,1,18,1,66,1,Longsword,TL,7,V66 (Longsword),
61,V18,18,1,19,1,18,1,Cassiopee,TL,7,V18 (Cassiopee),
71,V84,84,1,20,1,84,1,Strzelecki,TL,7,V84 (Strzelecki),
81,V59,59,1,21,2,59,1,Grout,TL,7,V59 (Grout),
91,V95,95,1,22,1,95,1,Yitpi,TL,7,V95 (Yitpi),
101,V17,17,1,23,1,17,1,Capstan,TL,7,V17 (Capstan),
111,V56,56,1,24,2,56,1,Gauntlet,TL,7,V56 (Gauntlet),
1,V10,10,1,25,1,10,1,Banks,TL,8,V10 (Banks),
11,V25,25,1,26,1,25,1,CSIROW002,TL,8,V25 (CSIROW002),
21,V5,5,1,27,1,5,1,Manning,Control,8,V5 (Manning),subset\u0007
31,V20,20,1,28,1,20,1,Commander,TL,8,V20 (Commander),subset\u0007
41,V78,78,1,29,2,78,1,Schooner,TL,8,V78 (Schooner),
51,V85,85,1,30,1,85,1,Sunbee,TL,8,V85 (Sunbee),
61,V13,13,1,31,1,13,1,Biere,TL,8,V13 (Biere),
71,V8,8,1,32,1,8,1,Alestar,TL,8,V8 (Alestar),
81,V21,21,1,33,1,21,1,Compass,TL,8,V21 (Compass),subset\u0007
91,V79,79,1,34,2,79,1,Scope,TL,8,V79 (Scope),
101,V28,28,1,35,1,28,1,CSIROW007,TL,8,V28 (CSIROW007),
111,V75,75,1,36,2,75,1,Revenue,TL,8,V75 (Revenue),
1,V37,37,1,37,2,37,1,CSIROW087,TL,6,V37 (CSIROW087),
11,V13,13,1,38,1,13,1,Biere,TL,6,V13 (Biere),
21,V47,47,1,39,1,47,1,EGA_Wills,TL,6,V47 (EGA_Wills),
31,V60,60,1,40,1,60,1,H45,TL,6,V60 (H45),
41,V40,40,1,41,2,40,1,Cutlass,TL,6,V40 (Cutlass),
51,V80,80,1,42,1,80,1,Scout,TL,6,V80 (Scout),
61,V81,81,1,43,1,81,1,Shepherd,TL,6,V81 (Shepherd),
71,V7,7,1,44,1,7,1,AGT_Scythe,TL,6,V7 (AGT_Scythe),
